experiment,target_subject,rule,full_selected_epoch,omitted_inner_fold,omitted_validation_pair,LOIFO_selected_epoch,epoch_shift,absolute_epoch_shift
Q5,3,trimmed_mean_ce,9,3,S6+S7,25,16,16
Q5,3,trimmed_mean_ce,9,4,S8+S9,6,-3,3
Q5,3,worst_fold_ce,1,1,S1+S2,1,0,0
Q5,3,worst_fold_ce,1,2,S4+S5,6,5,5
Q5,3,worst_fold_ce,1,3,S6+S7,1,0,0
Q5,3,worst_fold_ce,1,4,S8+S9,1,0,0
Q5,3,mean_rank,10,1,S1+S2,5,-5,5
Q5,3,mean_rank,10,2,S4+S5,12,2,2
Q5,3,mean_rank,10,3,S6+S7,30,20,20
Q5,3,mean_rank,10,4,S8+S9,10,0,0
Q5,3,median_rank,10,1,S1+S2,1,-9,9
Q5,3,median_rank,10,2,S4+S5,10,0,0
Q5,3,median_rank,10,3,S6+S7,17,7,7
Q5,3,median_rank,10,4,S8+S9,1,-9,9
Q5,4,mean_ce,10,1,S1+S2,10,0,0
Q5,4,mean_ce,10,2,S3+S5,10,0,0
Q5,4,mean_ce,10,3,S6+S7,10,0,0
Q5,4,mean_ce,10,4,S8+S9,10,0,0
Q5,4,median_ce,10,1,S1+S2,34,24,24
Q5,4,median_ce,10,2,S3+S5,12,2,2
Q5,4,median_ce,10,3,S6+S7,12,2,2
Q5,4,median_ce,10,4,S8+S9,17,7,7
Q5,4,trimmed_mean_ce,10,1,S1+S2,34,24,24
Q5,4,trimmed_mean_ce,10,2,S3+S5,12,2,2
Q5,4,trimmed_mean_ce,10,3,S6+S7,12,2,2
Q5,4,trimmed_mean_ce,10,4,S8+S9,17,7,7
Q5,4,worst_fold_ce,1,1,S1+S2,1,0,0
Q5,4,worst_fold_ce,1,2,S3+S5,4,3,3
Q5,4,worst_fold_ce,1,3,S6+S7,17,16,16
Q5,4,worst_fold_ce,1,4,S8+S9,1,0,0
Q5,4,mean_rank,10,1,S1+S2,10,0,0
Q5,4,mean_rank,10,2,S3+S5,10,0,0
Q5,4,mean_rank,10,3,S6+S7,10,0,0
Q5,4,mean_rank,10,4,S8+S9,10,0,0
Q5,4,median_rank,10,1,S1+S2,10,0,0
Q5,4,median_rank,10,2,S3+S5,12,2,2
Q5,4,median_rank,10,3,S6+S7,17,7,7
Q5,4,median_rank,10,4,S8+S9,17,7,7
Q5,5,mean_ce,13,1,S1+S2,7,-6,6
Q5,5,mean_ce,13,2,S3+S4,12,-1,1
Q5,5,mean_ce,13,3,S6+S7,13,0,0
Q5,5,mean_ce,13,4,S8+S9,19,6,6
Q5,5,median_ce,12,1,S1+S2,10,-2,2
Q5,5,median_ce,12,2,S3+S4,12,0,0
Q5,5,median_ce,12,3,S6+S7,10,-2,2
Q5,5,median_ce,12,4,S8+S9,19,7,7
Q5,5,trimmed_mean_ce,12,1,S1+S2,10,-2,2
Q5,5,trimmed_mean_ce,12,2,S3+S4,12,0,0
Q5,5,trimmed_mean_ce,12,3,S6+S7,10,-2,2
Q5,5,trimmed_mean_ce,12,4,S8+S9,19,7,7
Q5,5,worst_fold_ce,1,1,S1+S2,1,0,0
Q5,5,worst_fold_ce,1,2,S3+S4,1,0,0
Q5,5,worst_fold_ce,1,3,S6+S7,12,11,11
Q5,5,worst_fold_ce,1,4,S8+S9,1,0,0
Q5,5,mean_rank,17,1,S1+S2,7,-10,10
Q5,5,mean_rank,17,2,S3+S4,12,-5,5
Q5,5,mean_rank,17,3,S6+S7,17,0,0
Q5,5,mean_rank,17,4,S8+S9,17,0,0
Q5,5,median_rank,13,1,S1+S2,6,-7,7
Q5,5,median_rank,13,2,S3+S4,6,-7,7
Q5,5,median_rank,13,3,S6+S7,13,0,0
Q5,5,median_rank,13,4,S8+S9,17,4,4
Q5,6,mean_ce,7,1,S1+S2,7,0,0
Q5,6,mean_ce,7,2,S3+S4,2,-5,5
Q5,6,mean_ce,7,3,S5+S7,7,0,0
Q5,6,mean_ce,7,4,S8+S9,7,0,0
Q5,6,median_ce,7,1,S1+S2,6,-1,1
Q5,6,median_ce,7,2,S3+S4,7,0,0
Q5,6,median_ce,7,3,S5+S7,16,9,9
Q5,6,median_ce,7,4,S8+S9,16,9,9
Q5,6,trimmed_mean_ce,7,1,S1+S2,6,-1,1
Q5,6,trimmed_mean_ce,7,2,S3+S4,7,0,0
Q5,6,trimmed_mean_ce,7,3,S5+S7,16,9,9
Q5,6,trimmed_mean_ce,7,4,S8+S9,16,9,9
Q5,6,worst_fold_ce,1,1,S1+S2,1,0,0
Q5,6,worst_fold_ce,1,2,S3+S4,1,0,0
Q5,6,worst_fold_ce,1,3,S5+S7,7,6,6
Q5,6,worst_fold_ce,1,4,S8+S9,1,0,0
Q5,6,mean_rank,15,1,S1+S2,15,0,0
Q5,6,mean_rank,15,2,S3+S4,7,-8,8
Q5,6,mean_rank,15,3,S5+S7,15,0,0
Q5,6,mean_rank,15,4,S8+S9,15,0,0
Q5,6,median_rank,15,1,S1+S2,4,-11,11
Q5,6,median_rank,15,2,S3+S4,4,-11,11
Q5,6,median_rank,15,3,S5+S7,15,0,0
Q5,6,median_rank,15,4,S8+S9,15,0,0
Q5,7,mean_ce,6,1,S1+S2,5,-1,1
Q5,7,mean_ce,6,2,S3+S4,6,0,0
Q5,7,mean_ce,6,3,S5+S6,16,10,10
Q5,7,mean_ce,6,4,S8+S9,6,0,0
Q5,7,median_ce,16,1,S1+S2,23,7,7
Q5,7,median_ce,16,2,S3+S4,16,0,0
Q5,7,median_ce,16,3,S5+S6,23,7,7
Q5,7,median_ce,16,4,S8+S9,16,0,0
Q5,7,trimmed_mean_ce,16,1,S1+S2,23,7,7
Q5,7,trimmed_mean_ce,16,2,S3+S4,16,0,0
Q5,7,trimmed_mean_ce,16,3,S5+S6,23,7,7
Q5,7,trimmed_mean_ce,16,4,S8+S9,16,0,0
Q5,7,worst_fold_ce,1,1,S1+S2,1,0,0
Q5,7,worst_fold_ce,1,2,S3+S4,1,0,0
Q5,7,worst_fold_ce,1,3,S5+S6,16,15,15
Q5,7,worst_fold_ce,1,4,S8+S9,1,0,0
Q5,7,mean_rank,16,1,S1+S2,16,0,0
Q5,7,mean_rank,16,2,S3+S4,10,-6,6
Q5,7,mean_rank,16,3,S5+S6,16,0,0
Q5,7,mean_rank,16,4,S8+S9,16,0,0
Q5,7,median_rank,16,1,S1+S2,5,-11,11
Q5,7,median_rank,16,2,S3+S4,5,-11,11
Q5,7,median_rank,16,3,S5+S6,16,0,0
Q5,7,median_rank,16,4,S8+S9,16,0,0
Q5,8,mean_ce,1,1,S1+S2,1,0,0
Q5,8,mean_ce,1,2,S3+S4,2,1,1
Q5,8,mean_ce,1,3,S5+S6,23,22,22
Q5,8,mean_ce,1,4,S7+S9,1,0,0
Q5,8,median_ce,23,1,S1+S2,26,3,3
Q5,8,median_ce,23,2,S3+S4,26,3,3
Q5,8,median_ce,23,3,S5+S6,22,-1,1
Q5,8,median_ce,23,4,S7+S9,22,-1,1
Q5,8,trimmed_mean_ce,23,1,S1+S2,26,3,3
Q5,8,trimmed_mean_ce,23,2,S3+S4,26,3,3
Q5,8,trimmed_mean_ce,23,3,S5+S6,22,-1,1
Q5,8,trimmed_mean_ce,23,4,S7+S9,22,-1,1
Q5,8,worst_fold_ce,1,1,S1+S2,1,0,0
Q5,8,worst_fold_ce,1,2,S3+S4,1,0,0
Q5,8,worst_fold_ce,1,3,S5+S6,26,25,25
Q5,8,worst_fold_ce,1,4,S7+S9,1,0,0
Q5,8,mean_rank,23,1,S1+S2,16,-7,7
Q5,8,mean_rank,23,2,S3+S4,9,-14,14
Q5,8,mean_rank,23,3,S5+S6,26,3,3
Q5,8,mean_rank,23,4,S7+S9,13,-10,10
Q5,8,median_rank,26,1,S1+S2,26,0,0
Q5,8,median_rank,26,2,S3+S4,5,-21,21
Q5,8,median_rank,26,3,S5+S6,26,0,0
Q5,8,median_rank,26,4,S7+S9,23,-3,3
Q5,9,mean_ce,7,1,S1+S2,7,0,0
Q5,9,mean_ce,7,2,S3+S4,7,0,0
Q5,9,mean_ce,7,3,S5+S6,13,6,6
Q5,9,mean_ce,7,4,S7+S8,7,0,0
Q5,9,median_ce,13,1,S1+S2,9,-4,4
Q5,9,median_ce,13,2,S3+S4,13,0,0
Q5,9,median_ce,13,3,S5+S6,9,-4,4
Q5,9,median_ce,13,4,S7+S8,13,0,0
Q5,9,trimmed_mean_ce,13,1,S1+S2,9,-4,4
Q5,9,trimmed_mean_ce,13,2,S3+S4,13,0,0
Q5,9,trimmed_mean_ce,13,3,S5+S6,9,-4,4
Q5,9,trimmed_mean_ce,13,4,S7+S8,13,0,0
Q5,9,worst_fold_ce,1,1,S1+S2,1,0,0
Q5,9,worst_fold_ce,1,2,S3+S4,1,0,0
Q5,9,worst_fold_ce,1,3,S5+S6,13,12,12
Q5,9,worst_fold_ce,1,4,S7+S8,1,0,0
Q5,9,mean_rank,9,1,S1+S2,9,0,0
Q5,9,mean_rank,9,2,S3+S4,9,0,0
Q5,9,mean_rank,9,3,S5+S6,9,0,0
Q5,9,mean_rank,9,4,S7+S8,9,0,0
Q5,9,median_rank,9,1,S1+S2,9,0,0
Q5,9,median_rank,9,2,S3+S4,21,12,12
Q5,9,median_rank,9,3,S5+S6,13,4,4
Q5,9,median_rank,9,4,S7+S8,13,4,4
Q6,1,mean_ce,27,1,S2+S3,1,-26,26
Q6,1,mean_ce,27,2,S4+S5,18,-9,9
Q6,1,mean_ce,27,3,S6+S7,27,0,0
Q6,1,mean_ce,27,4,S8+S9,1,-26,26
Q6,1,median_ce,7,1,S2+S3,6,-1,1
Q6,1,median_ce,7,2,S4+S5,27,20,20
Q6,1,median_ce,7,3,S6+S7,27,20,20
Q6,1,median_ce,7,4,S8+S9,6,-1,1
Q6,1,trimmed_mean_ce,7,1,S2+S3,6,-1,1
Q6,1,trimmed_mean_ce,7,2,S4+S5,27,20,20
Q6,1,trimmed_mean_ce,7,3,S6+S7,27,20,20
Q6,1,trimmed_mean_ce,7,4,S8+S9,6,-1,1
Q6,1,worst_fold_ce,1,1,S2+S3,1,0,0
Q6,1,worst_fold_ce,1,2,S4+S5,6,5,5
Q6,1,worst_fold_ce,1,3,S6+S7,1,0,0
Q6,1,worst_fold_ce,1,4,S8+S9,1,0,0
Q6,1,mean_rank,27,1,S2+S3,4,-23,23
Q6,1,mean_rank,27,2,S4+S5,18,-9,9
Q6,1,mean_rank,27,3,S6+S7,27,0,0
Q6,1,mean_rank,27,4,S8+S9,19,-8,8
Q6,1,median_rank,4,1,S2+S3,1,-3,3
Q6,1,median_rank,4,2,S4+S5,6,2,2
Q6,1,median_rank,4,3,S6+S7,18,14,14
Q6,1,median_rank,4,4,S8+S9,1,-3,3
Q6,2,mean_ce,1,1,S1+S3,1,0,0
Q6,2,mean_ce,1,2,S4+S5,13,12,12
Q6,2,mean_ce,1,3,S6+S7,19,18,18
Q6,2,mean_ce,1,4,S8+S9,1,0,0
Q6,2,median_ce,11,1,S1+S3,5,-6,6
Q6,2,median_ce,11,2,S4+S5,36,25,25
Q6,2,median_ce,11,3,S6+S7,36,25,25
Q6,2,median_ce,11,4,S8+S9,5,-6,6
Q6,2,trimmed_mean_ce,11,1,S1+S3,5,-6,6
Q6,2,trimmed_mean_ce,11,2,S4+S5,36,25,25
Q6,2,trimmed_mean_ce,11,3,S6+S7,36,25,25
Q6,2,trimmed_mean_ce,11,4,S8+S9,5,-6,6
Q6,2,worst_fold_ce,1,1,S1+S3,1,0,0
Q6,2,worst_fold_ce,1,2,S4+S5,5,4,4
Q6,2,worst_fold_ce,1,3,S6+S7,1,0,0
Q6,2,worst_fold_ce,1,4,S8+S9,1,0,0
Q6,2,mean_rank,19,1,S1+S3,19,0,0
Q6,2,mean_rank,19,2,S4+S5,19,0,0
Q6,2,mean_rank,19,3,S6+S7,19,0,0
Q6,2,mean_rank,19,4,S8+S9,12,-7,7
Q6,2,median_rank,19,1,S1+S3,1,-18,18
Q6,2,median_rank,19,2,S4+S5,23,4,4
Q6,2,median_rank,19,3,S6+S7,23,4,4
Q6,2,median_rank,19,4,S8+S9,1,-18,18
Q6,3,mean_ce,16,1,S1+S2,1,-15,15
Q6,3,mean_ce,16,2,S4+S5,19,3,3
Q6,3,mean_ce,16,3,S6+S7,16,0,0
Q6,3,mean_ce,16,4,S8+S9,1,-15,15
Q6,3,median_ce,16,1,S1+S2,6,-10,10
Q6,3,median_ce,16,2,S4+S5,19,3,3
Q6,3,median_ce,16,3,S6+S7,19,3,3
Q6,3,median_ce,16,4,S8+S9,7,-9,9
Q6,3,trimmed_mean_ce,16,1,S1+S2,6,-10,10
Q6,3,trimmed_mean_ce,16,2,S4+S5,19,3,3
Q6,3,trimmed_mean_ce,16,3,S6+S7,19,3,3
Q6,3,trimmed_mean_ce,16,4,S8+S9,7,-9,9
Q6,3,worst_fold_ce,1,1,S1+S2,1,0,0
Q6,3,worst_fold_ce,1,2,S4+S5,10,9,9
Q6,3,worst_fold_ce,1,3,S6+S7,1,0,0
Q6,3,worst_fold_ce,1,4,S8+S9,1,0,0
Q6,3,mean_rank,12,1,S1+S2,5,-7,7
Q6,3,mean_rank,12,2,S4+S5,12,0,0
Q6,3,mean_rank,12,3,S6+S7,12,0,0
Q6,3,mean_rank,12,4,S8+S9,17,5,5
Q6,3,median_rank,17,1,S1+S2,17,0,0
Q6,3,median_rank,17,2,S4+S5,17,0,0
Q6,3,median_rank,17,3,S6+S7,17,0,0
Q6,3,median_rank,17,4,S8+S9,17,0,0
Q6,4,mean_ce,10,1,S1+S2,10,0,0
Q6,4,mean_ce,10,2,S3+S5,10,0,0
Q6,4,mean_ce,10,3,S6+S7,10,0,0
Q6,4,mean_ce,10,4,S8+S9,16,6,6
Q6,4,median_ce,10,1,S1+S2,16,6,6
Q6,4,median_ce,10,2,S3+S5,12,2,2
Q6,4,median_ce,10,3,S6+S7,12,2,2
Q6,4,median_ce,10,4,S8+S9,17,7,7
Q6,4,trimmed_mean_ce,10,1,S1+S2,16,6,6
Q6,4,trimmed_mean_ce,10,2,S3+S5,12,2,2
Q6,4,trimmed_mean_ce,10,3,S6+S7,12,2,2
Q6,4,trimmed_mean_ce,10,4,S8+S9,17,7,7
Q6,4,worst_fold_ce,1,1,S1+S2,1,0,0
Q6,4,worst_fold_ce,1,2,S3+S5,5,4,4
Q6,4,worst_fold_ce,1,3,S6+S7,16,15,15
Q6,4,worst_fold_ce,1,4,S8+S9,1,0,0
Q6,4,mean_rank,10,1,S1+S2,10,0,0
Q6,4,mean_rank,10,2,S3+S5,10,0,0
Q6,4,mean_rank,10,3,S6+S7,10,0,0
Q6,4,mean_rank,10,4,S8+S9,10,0,0
Q6,4,median_rank,10,1,S1+S2,10,0,0
Q6,4,median_rank,10,2,S3+S5,12,2,2
Q6,4,median_rank,10,3,S6+S7,17,7,7
Q6,4,median_rank,10,4,S8+S9,17,7,7
Q6,5,mean_ce,12,1,S1+S2,7,-5,5
Q6,5,mean_ce,12,2,S3+S4,12,0,0
Q6,5,mean_ce,12,3,S6+S7,12,0,0
Q6,5,mean_ce,12,4,S8+S9,13,1,1
Q6,5,median_ce,12,1,S1+S2,10,-2,2
Q6,5,median_ce,12,2,S3+S4,12,0,0
Q6,5,median_ce,12,3,S6+S7,10,-2,2
Q6,5,median_ce,12,4,S8+S9,19,7,7
Q6,5,trimmed_mean_ce,12,1,S1+S2,10,-2,2
Q6,5,trimmed_mean_ce,12,2,S3+S4,12,0,0
Q6,5,trimmed_mean_ce,12,3,S6+S7,10,-2,2
Q6,5,trimmed_mean_ce,12,4,S8+S9,19,7,7
Q6,5,worst_fold_ce,1,1,S1+S2,1,0,0
Q6,5,worst_fold_ce,1,2,S3+S4,1,0,0
Q6,5,worst_fold_ce,1,3,S6+S7,12,11,11
Q6,5,worst_fold_ce,1,4,S8+S9,1,0,0
Q6,5,mean_rank,16,1,S1+S2,18,2,2
Q6,5,mean_rank,16,2,S3+S4,12,-4,4
Q6,5,mean_rank,16,3,S6+S7,16,0,0
Q6,5,mean_rank,16,4,S8+S9,17,1,1
Q6,5,median_rank,12,1,S1+S2,6,-6,6
Q6,5,median_rank,12,2,S3+S4,6,-6,6
Q6,5,median_rank,12,3,S6+S7,12,0,0
Q6,5,median_rank,12,4,S8+S9,17,5,5
Q6,6,mean_ce,7,1,S1+S2,7,0,0
Q6,6,mean_ce,7,2,S3+S4,1,-6,6
Q6,6,mean_ce,7,3,S5+S7,7,0,0
Q6,6,mean_ce,7,4,S8+S9,35,28,28
Q6,6,median_ce,7,1,S1+S2,6,-1,1
Q6,6,median_ce,7,2,S3+S4,7,0,0
Q6,6,median_ce,7,3,S5+S7,16,9,9
Q6,6,median_ce,7,4,S8+S9,16,9,9
Q6,6,trimmed_mean_ce,7,1,S1+S2,6,-1,1
Q6,6,trimmed_mean_ce,7,2,S3+S4,7,0,0
Q6,6,trimmed_mean_ce,7,3,S5+S7,16,9,9
Q6,6,trimmed_mean_ce,7,4,S8+S9,16,9,9
Q6,6,worst_fold_ce,1,1,S1+S2,1,0,0
Q6,6,worst_fold_ce,1,2,S3+S4,1,0,0
Q6,6,worst_fold_ce,1,3,S5+S7,7,6,6
Q6,6,worst_fold_ce,1,4,S8+S9,1,0,0
Q6,6,mean_rank,15,1,S1+S2,15,0,0
Q6,6,mean_rank,15,2,S3+S4,7,-8,8
Q6,6,mean_rank,15,3,S5+S7,15,0,0
Q6,6,mean_rank,15,4,S8+S9,35,20,20
Q6,6,median_rank,21,1,S1+S2,4,-17,17
Q6,6,median_rank,21,2,S3+S4,4,-17,17
Q6,6,median_rank,21,3,S5+S7,24,3,3
Q6,6,median_rank,21,4,S8+S9,24,3,3
Q6,7,mean_ce,6,1,S1+S2,6,0,0
Q6,7,mean_ce,6,2,S3+S4,6,0,0
Q6,7,mean_ce,6,3,S5+S6,16,10,10
Q6,7,mean_ce,6,4,S8+S9,6,0,0
Q6,7,median_ce,16,1,S1+S2,23,7,7
Q6,7,median_ce,16,2,S3+S4,16,0,0
Q6,7,median_ce,16,3,S5+S6,23,7,7
Q6,7,median_ce,16,4,S8+S9,15,-1,1
Q6,7,trimmed_mean_ce,16,1,S1+S2,23,7,7
Q6,7,trimmed_mean_ce,16,2,S3+S4,16,0,0
Q6,7,trimmed_mean_ce,16,3,S5+S6,23,7,7
Q6,7,trimmed_mean_ce,16,4,S8+S9,15,-1,1
Q6,7,worst_fold_ce,1,1,S1+S2,1,0,0
Q6,7,worst_fold_ce,1,2,S3+S4,1,0,0
Q6,7,worst_fold_ce,1,3,S5+S6,16,15,15
Q6,7,worst_fold_ce,1,4,S8+S9,1,0,0
Q6,7,mean_rank,16,1,S1+S2,16,0,0
Q6,7,mean_rank,16,2,S3+S4,7,-9,9
Q6,7,mean_rank,16,3,S5+S6,16,0,0
Q6,7,mean_rank,16,4,S8+S9,16,0,0
Q6,7,median_rank,16,1,S1+S2,23,7,7
Q6,7,median_rank,16,2,S3+S4,16,0,0
Q6,7,median_rank,16,3,S5+S6,16,0,0
Q6,7,median_rank,16,4,S8+S9,16,0,0
Q6,8,mean_ce,1,1,S1+S2,1,0,0
Q6,8,mean_ce,1,2,S3+S4,1,0,0
Q6,8,mean_ce,1,3,S5+S6,23,22,22
Q6,8,mean_ce,1,4,S7+S9,1,0,0
Q6,8,median_ce,23,1,S1+S2,26,3,3
Q6,8,median_ce,23,2,S3+S4,26,3,3
Q6,8,median_ce,23,3,S5+S6,17,-6,6
Q6,8,median_ce,23,4,S7+S9,17,-6,6
Q6,8,trimmed_mean_ce,23,1,S1+S2,26,3,3
Q6,8,trimmed_mean_ce,23,2,S3+S4,26,3,3
Q6,8,trimmed_mean_ce,23,3,S5+S6,17,-6,6
Q6,8,trimmed_mean_ce,23,4,S7+S9,17,-6,6
Q6,8,worst_fold_ce,1,1,S1+S2,1,0,0
Q6,8,worst_fold_ce,1,2,S3+S4,1,0,0
Q6,8,worst_fold_ce,1,3,S5+S6,26,25,25
Q6,8,worst_fold_ce,1,4,S7+S9,1,0,0
Q6,8,mean_rank,23,1,S1+S2,26,3,3
Q6,8,mean_rank,23,2,S3+S4,16,-7,7
Q6,8,mean_rank,23,3,S5+S6,23,0,0
Q6,8,mean_rank,23,4,S7+S9,22,-1,1
Q6,8,median_rank,23,1,S1+S2,5,-18,18
Q6,8,median_rank,23,2,S3+S4,5,-18,18
Q6,8,median_rank,23,3,S5+S6,22,-1,1
Q6,8,median_rank,23,4,S7+S9,22,-1,1
Q6,9,mean_ce,7,1,S1+S2,7,0,0
Q6,9,mean_ce,7,2,S3+S4,7,0,0
Q6,9,mean_ce,7,3,S5+S6,13,6,6
Q6,9,mean_ce,7,4,S7+S8,7,0,0
Q6,9,median_ce,13,1,S1+S2,9,-4,4
Q6,9,median_ce,13,2,S3+S4,13,0,0
Q6,9,median_ce,13,3,S5+S6,9,-4,4
Q6,9,median_ce,13,4,S7+S8,13,0,0
Q6,9,trimmed_mean_ce,13,1,S1+S2,9,-4,4
Q6,9,trimmed_mean_ce,13,2,S3+S4,13,0,0
Q6,9,trimmed_mean_ce,13,3,S5+S6,9,-4,4
Q6,9,trimmed_mean_ce,13,4,S7+S8,13,0,0
Q6,9,worst_fold_ce,1,1,S1+S2,1,0,0
Q6,9,worst_fold_ce,1,2,S3+S4,1,0,0
Q6,9,worst_fold_ce,1,3,S5+S6,13,12,12
Q6,9,worst_fold_ce,1,4,S7+S8,1,0,0
Q6,9,mean_rank,12,1,S1+S2,9,-3,3
Q6,9,mean_rank,12,2,S3+S4,9,-3,3
Q6,9,mean_rank,12,3,S5+S6,13,1,1
Q6,9,mean_rank,12,4,S7+S8,10,-2,2
Q6,9,median_rank,12,1,S1+S2,18,6,6
Q6,9,median_rank,12,2,S3+S4,21,9,9
Q6,9,median_rank,12,3,S5+S6,13,1,1
Q6,9,median_rank,12,4,S7+S8,13,1,1
